5,6,7,8,9,10,11,12,13,14,15,16
"[[9983.9127, 13.9915, 29.137, 10.5178, 14.1308, 52.1839], [3037.6295, 7.7176, 17.688, 5.2871, 7.7944, 26.0112], [738.3415, 3.8049, 8.952, 2.7545, 3.8428, 13.3166]]","[[32172.3145, 22.9655, 47.68, 17.3501, 23.1561, 103.4518], [11830.7217, 13.9265, 31.328, 9.7278, 14.042, 57.6919], [3328.1912, 7.3865, 17.831, 5.167, 7.4478, 30.2963]]","[[83289.9412, 34.2505, 70.976, 25.9328, 34.4943, 180.5739], [34819.8436, 22.1454, 49.242, 15.6151, 22.3031, 108.312], [12002.3522, 13.0018, 31.108, 8.9005, 13.0944, 61.2371]]","[[187841.8421, 48.1564, 99.539, 36.5547, 48.4564, 291.1158], [85913.3425, 32.5678, 71.707, 23.1746, 32.7707, 184.0222], [34610.2245, 20.6709, 48.699, 14.116, 20.7997, 111.4155]]","[[373401.3775, 64.0571, 132.582, 48.6004, 64.412, 435.6342], [189534.8499, 45.6377, 99.838, 32.6961, 45.8906, 292.4232], [85708.8665, 30.6897, 71.482, 20.9938, 30.8597, 186.7436]]","[[671635.1392, 81.5466, 167.986, 61.8963, 81.9533, 616.7533], [367949.601, 60.3578, 130.699, 43.4605, 60.6588, 432.1402], [183896.5549, 42.6703, 97.675, 29.3899, 42.8832, 290.6666]]","[[1246919.7104, 105.9883, 220.014, 80.4544, 106.4689, 882.0431], [736561.3025, 81.4597, 176.684, 59.1341, 81.8292, 647.4415], [409986.5724, 60.7748, 138.288, 42.4155, 61.0504, 463.4542]]","[[2080487.1344, 131.1263, 272.513, 99.4825, 131.6715, 1190.1123], [1294840.377, 103.4464, 223.674, 75.3392, 103.8765, 900.3074], [762831.1222, 79.4002, 179.263, 55.7094, 79.7303, 664.6673]]","[[3305511.7478, 158.8487, 330.494, 120.5105, 159.4585, 1562.1628], [2130135.456, 127.517, 275.258, 93.1226, 128.0065, 1206.0229], [1313399.6695, 100.1297, 224.906, 70.5384, 100.5141, 912.3125]]","[[5036953.8108, 189.0055, 393.197, 143.3789, 189.6793, 2001.982], [3361927.4857, 154.4133, 332.296, 113.0802, 154.9638, 1577.6875], [2158826.6264, 123.7369, 276.159, 87.5913, 124.1781, 1220.716]]","[[7425262.4532, 221.7519, 461.429, 168.2734, 222.4899, 2517.8566], [5085625.9668, 183.5201, 394.215, 134.7303, 184.1309, 2014.5867], [3371764.2434, 149.4308, 332.105, 106.2179, 149.9281, 1586.7514]]","[[10695677.8259, 257.7456, 536.47, 195.6009, 258.5498, 3122.3516], [7508065.1044, 215.9489, 463.076, 158.8761, 216.6227, 2534.6194], [5132757.2782, 178.5511, 395.231, 127.4152, 179.1082, 2031.0714]]"
"[[9940.5897, 13.9611, 29.073, 10.495, 14.1001, 52.0709], [3023.7183, 7.6999, 17.646, 5.275, 7.7765, 25.9516], [734.614, 3.7953, 8.928, 2.7476, 3.8331, 13.2834]]","[[32042.8413, 22.9193, 47.581, 17.3155, 23.1095, 103.2456], [11780.2968, 13.8967, 31.259, 9.7073, 14.0121, 57.5705], [3312.0013, 7.3685, 17.785, 5.1548, 7.4297, 30.2245]]","[[82967.9809, 34.1843, 70.834, 25.8832, 34.4276, 180.2293], [34676.6665, 22.0999, 49.136, 15.5833, 22.2572, 108.0919], [11947.4938, 12.9721, 31.033, 8.8805, 13.0644, 61.0994]]","[[187131.6943, 48.0652, 99.343, 36.4864, 48.3647, 290.573], [85566.8991, 32.502, 71.556, 23.1283, 32.7045, 183.6554], [34458.0287, 20.6254, 48.587, 14.0854, 20.7539, 111.1741]]","[[371991.9375, 63.9361, 132.322, 48.5098, 64.2903, 434.823], [188782.4457, 45.547, 99.631, 32.6319, 45.7994, 291.8501], [85342.9589, 30.6241, 71.323, 20.9495, 30.7938, 186.3486]]","[[669050.8613, 81.3896, 167.649, 61.7787, 81.7955, 615.5823], [366481.1808, 60.2373, 130.426, 43.3746, 60.5377, 431.2873], [183120.792, 42.5802, 97.458, 29.3286, 42.7926, 290.0578]]","[[1242337.2581, 105.7933, 219.595, 80.3084, 106.2731, 880.4436], [733777.5313, 81.3056, 176.336, 59.0239, 81.6744, 646.2364], [408383.3372, 60.6558, 138.005, 42.334, 60.9309, 462.5641]]","[[2072947.6603, 130.8885, 272.001, 99.3043, 131.4327, 1187.9824], [1290041.8365, 103.2546, 223.243, 75.2015, 103.6839, 898.663], [759916.3844, 79.2483, 178.905, 55.6046, 79.5779, 663.4185]]","[[3293605.5487, 158.5624, 329.877, 120.296, 159.1711, 1559.3836], [2122289.7922, 127.2819, 274.731, 92.9533, 127.7705, 1203.8314], [1308420.5978, 99.9397, 224.462, 70.4066, 100.3233, 910.6094]]","[[5018823.9259, 188.665, 392.464, 143.1237, 189.3376, 1998.4214], [3349589.2276, 154.1297, 331.662, 112.8753, 154.6791, 1574.8305], [2150700.478, 123.5038, 275.617, 87.4288, 123.9441, 1218.4524]]","[[7398467.0819, 221.3515, 460.566, 167.9733, 222.0881, 2513.368], [5066926.9567, 183.1824, 393.462, 134.4857, 183.792, 2010.9311], [3359073.1568, 149.1493, 331.453, 106.0207, 149.6457, 1583.8077]]","[[10657068.4452, 257.2799, 535.466, 195.252, 258.0827, 3116.7831], [7480490.4308, 215.552, 462.193, 158.588, 216.2246, 2530.0251], [5113524.9232, 178.2162, 394.459, 127.1797, 178.7723, 2027.3195]]"
"[[9897.518, 13.9309, 29.008, 10.4724, 14.0695, 51.9589], [3009.8272, 7.6822, 17.604, 5.263, 7.7586, 25.8925], [730.8321, 3.7855, 8.903, 2.7406, 3.8232, 13.2498]]","[[31913.8096, 22.8731, 47.482, 17.281, 23.0629, 103.0403], [11729.8938, 13.867, 31.189, 9.6868, 13.9821, 57.4492], [3295.7915, 7.3505, 17.739, 5.1425, 7.4115, 30.1523]]","[[82646.4932, 34.118, 70.692, 25.8336, 34.3608, 179.8841], [34533.9325, 22.0543, 49.031, 15.5516, 22.2113, 107.8724], [11892.8061, 12.9423, 30.959, 8.8605, 13.0345, 60.9617]]","[[186424.0689, 47.9743, 99.148, 36.4184, 48.2732, 290.0317], [85221.2901, 32.4363, 71.406, 23.0822, 32.6384, 183.2894], [34305.8585, 20.5798, 48.474, 14.0547, 20.708, 110.9316]]","[[370584.1706, 63.815, 132.062, 48.4191, 64.1685, 434.011], [188031.4881, 45.4564, 99.425, 32.5678, 45.7082, 291.2766], [84978.3032, 30.5586, 71.163, 20.9052, 30.7279, 185.9542]]","[[666472.6902, 81.2326, 167.311, 61.6611, 81.6378, 614.412], [365016.0103, 60.1167, 130.153, 43.2889, 60.4166, 430.4351], [182347.3208, 42.4902, 97.243, 29.2673, 42.7021, 289.4497]]","[[1237765.2024, 105.5985, 219.176, 80.1624, 106.0774, 878.8441], [731001.4629, 81.1517, 175.989, 58.9139, 81.5197, 645.032], [406784.2614, 60.537, 137.723, 42.2525, 60.8115, 461.6742]]","[[2065424.695, 130.6508, 271.489, 99.1262, 131.194, 1185.853], [1285254.3817, 103.0628, 222.812, 75.0638, 103.4913, 897.0183], [757007.5708, 79.0965, 178.548, 55.4999, 79.4254, 662.1698]]","[[3281724.9177, 158.2761, 329.261, 120.0815, 158.8837, 1556.6046], [2114461.684, 127.047, 274.205, 92.7841, 127.5347, 1201.6407], [1303453.1474, 99.7498, 224.017, 70.2749, 100.1327, 908.9063]]","[[5000731.5457, 188.3247, 391.73, 142.8687, 188.9961, 1994.8619], [3337276.812, 153.8461, 331.028, 112.6704, 154.3946, 1571.9742], [2142593.0497, 123.2708, 275.075, 87.2663, 123.7103, 1216.1892]]","[[7371729.2573, 220.9511, 459.704, 167.6732, 221.6864, 2508.8806], [5048264.5714, 182.8448, 392.708, 134.2412, 183.4533, 2007.2762], [3346409.9395, 148.8679, 330.802, 105.8235, 149.3633, 1580.864]]","[[10618545.301, 256.8145, 534.463, 194.9031, 257.6158, 3111.2176], [7452974.8679, 215.1552, 461.309, 158.3, 215.8265, 2525.4317], [5094335.1014, 177.8815, 393.688, 126.9442, 178.4365, 2023.5683]]"
"[[9854.383, 13.9005, 28.943, 10.4497, 14.0388, 51.8464], [2995.9501, 7.6645, 17.561, 5.2509, 7.7407, 25.8333], [727.102, 3.7758, 8.878, 2.7338, 3.8134, 13.2166]]","[[31784.9991, 22.8269, 47.383, 17.2465, 23.0163, 102.8342], [11679.5438, 13.8372, 31.12, 9.6662, 13.952, 57.3272], [3279.6257, 7.3324, 17.693, 5.1302, 7.3933, 30.08]]","[[82325.865, 34.0517, 70.55, 25.7841, 34.2941, 179.5393], [34391.3755, 22.0088, 48.926, 15.5198, 22.1654, 107.6522], [11838.1366, 12.9126, 30.884, 8.8405, 13.0045, 60.8239]]","[[185717.4807, 47.8833, 98.953, 36.3503, 48.1816, 289.4898], [84876.2869, 32.3706, 71.255, 23.036, 32.5723, 182.923], [34154.4828, 20.5344, 48.362, 14.0242, 20.6623, 110.6906]]","[[369181.316, 63.6941, 131.802, 48.3286, 64.047, 433.2003], [187282.6494, 45.3657, 99.218, 32.5037, 45.6171, 290.7038], [84613.8429, 30.493, 71.004, 20.8608, 30.6619, 185.5588]]","[[663899.0954, 81.0756, 166.973, 61.5435, 81.48, 613.2408], [363554.1729, 59.9962, 129.88, 43.2031, 60.2955, 429.5818], [181576.4004, 42.4003, 97.027, 29.2063, 42.6118, 288.8433]]","[[1233200.5447, 105.4036, 218.757, 80.0165, 105.8816, 877.2448], [728229.9628, 80.9977, 175.641, 58.8037, 81.3651, 643.8271], [405189.3769, 60.4182, 137.441, 42.171, 60.6922, 460.7848]]","[[2057918.3156, 130.4131, 270.978, 98.9482, 130.9554, 1183.7248], [1280475.6363, 102.871, 222.381, 74.9261, 103.2987, 895.3742], [754104.6808, 78.9447, 178.19, 55.3952, 79.273, 660.9216]]","[[3269869.6869, 157.99, 328.645, 119.8671, 158.5965, 1553.8266], [2106646.9877, 126.812, 273.678, 92.6148, 127.2988, 1199.4494], [1298495.3626, 99.5599, 223.573, 70.1431, 99.9421, 907.2038]]","[[4982675.581, 187.9844, 390.997, 142.6137, 188.6546, 1991.3031], [3324990.9661, 153.5627, 330.394, 112.4657, 154.1101, 1569.1189], [2134503.9693, 123.0379, 274.533, 87.1039, 123.4765, 1213.9272]]","[[7345048.3828, 220.5509, 458.841, 167.3733, 221.2849, 2504.3949], [5029641.5049, 182.5072, 391.956, 133.9966, 183.1146, 2003.6213], [3333771.914, 148.5865, 330.151, 105.6265, 149.081, 1577.9215]]","[[10580100.2198, 256.3492, 533.46, 194.5544, 257.149, 3105.6527], [7425517.6204, 214.7585, 460.426, 158.012, 215.4286, 2520.8396], [5075188.5645, 177.5469, 392.917, 126.7089, 178.1009, 2019.8186]]"
"[[9811.4029, 13.8701, 28.878, 10.427, 14.0081, 51.7339], [2982.0454, 7.6467, 17.519, 5.2389, 7.7228, 25.774], [723.3668, 3.7661, 8.854, 2.7268, 3.8036, 13.1827]]","[[31656.4858, 22.7807, 47.284, 17.2119, 22.9697, 102.6285], [11629.3638, 13.8074, 31.05, 9.6457, 13.922, 57.2058], [3263.5324, 7.3144, 17.647, 5.1179, 7.3751, 30.0081]]","[[82005.9377, 33.9855, 70.408, 25.7345, 34.2274, 179.1946], [34248.9082, 21.9631, 48.82, 15.4881, 22.1195, 107.432], [11783.7088, 12.8828, 30.809, 8.8205, 12.9745, 60.6863]]","[[185011.7278, 47.7922, 98.757, 36.2821, 48.09, 288.9473], [84532.3022, 32.3049, 71.104, 22.9899, 32.5062, 182.5572], [34003.3905, 20.4889, 48.25, 13.9936, 20.6166, 110.4485]]","[[367780.5755, 63.5731, 131.542, 48.238, 63.9254, 432.3891], [186535.2279, 45.2751, 99.012, 32.4396, 45.526, 290.131], [84250.929, 30.4275, 70.845, 20.8166, 30.5961, 185.1645]]","[[661331.0379, 80.9187, 166.636, 61.426, 81.3223, 612.0706], [362094.7673, 59.8757, 129.607, 43.1173, 60.1743, 428.7296], [180806.1752, 42.3103, 96.811, 29.145, 42.5213, 288.2354]]","[[1228647.2086, 105.2088, 218.338, 79.8705, 105.686, 875.6461], [725465.2383, 80.8438, 175.294, 58.6936, 81.2105, 642.6228], [403597.1653, 60.2993, 137.159, 42.0896, 60.5728, 459.8957]]","[[2050424.2184, 130.1755, 270.466, 98.7702, 130.7167, 1181.5957], [1275707.9301, 102.6793, 221.95, 74.7885, 103.1063, 893.7306], [751208.6769, 78.793, 177.833, 55.2905, 79.1206, 659.673]]","[[3258037.9969, 157.7039, 328.029, 119.6528, 158.3093, 1551.0498], [2098851.4258, 126.5771, 273.152, 92.4456, 127.063, 1197.2594], [1293549.0045, 99.3701, 223.129, 70.0114, 99.7516, 905.5012]]","[[4964653.1674, 187.6441, 390.264, 142.3587, 188.3131, 1987.7442], [3312730.8108, 153.2793, 329.761, 112.2609, 153.8258, 1566.2626], [2126429.2255, 122.805, 273.992, 86.9415, 123.2428, 1211.6645]]","[[7318417.1836, 220.1507, 457.979, 167.0734, 220.8833, 2499.9092], [5011061.7499, 182.1698, 391.203, 133.7523, 182.776, 1999.9688], [3321163.9873, 148.3053, 329.5, 105.4295, 148.7988, 1574.9798]]","[[10541732.1047, 255.884, 532.457, 194.2057, 256.6823, 3100.0884], [7398116.1317, 214.3619, 459.543, 157.724, 215.0308, 2516.2476], [5056079.4449, 177.2124, 392.146, 126.4736, 177.7653, 2016.07]]"
"[[9768.5341, 13.8398, 28.813, 10.4044, 13.9775, 51.6216], [2968.3205, 7.629, 17.477, 5.2268, 7.705, 25.7147], [719.6387, 3.7564, 8.829, 2.7199, 3.7938, 13.1496]]","[[31528.0716, 22.7344, 47.185, 17.1774, 22.9231, 102.4226], [11579.1666, 13.7776, 30.98, 9.6252, 13.8919, 57.0841], [3247.5492, 7.2965, 17.601, 5.1056, 7.357, 29.9362]]","[[81686.2509, 33.9192, 70.266, 25.6849, 34.1606, 178.8493], [34107.1157, 21.9176, 48.715, 15.4563, 22.0736, 107.2122], [11729.3518, 12.8531, 30.735, 8.8005, 12.9446, 60.5485]]","[[184309.074, 47.7014, 98.562, 36.2141, 47.9986, 288.4061], [84188.9388, 32.2393, 70.954, 22.9437, 32.4401, 182.1907], [33852.5378, 20.4434, 48.138, 13.963, 20.5708, 110.2068]]","[[366382.3456, 63.4522, 131.282, 48.1475, 63.8037, 431.5783], [185789.3171, 45.1845, 98.806, 32.3755, 45.4349, 289.5581], [83888.43, 30.362, 70.686, 20.7723, 30.5302, 184.7691]]","[[658767.3612, 80.7617, 166.299, 61.3084, 81.1645, 610.8997], [360640.1302, 59.7553, 129.334, 43.0317, 60.0533, 427.8784], [180038.2347, 42.2203, 96.595, 29.0838, 42.4309, 287.6279]]","[[1224103.7752, 105.0141, 217.919, 79.7247, 105.4904, 874.0479], [722706.0219, 80.6899, 174.947, 58.5836, 81.0559, 641.4187], [402008.2982, 60.1805, 136.877, 42.0081, 60.4535, 459.0058]]","[[2042946.6628, 129.9379, 269.955, 98.5922, 130.4782, 1179.4675], [1270950.5044, 102.4877, 221.519, 74.6509, 102.9138, 892.0871], [748319.0946, 78.6413, 177.476, 55.1858, 78.9683, 658.4252]]","[[3246230.5197, 157.4179, 327.413, 119.4384, 158.0222, 1548.2726], [2091071.876, 126.3423, 272.626, 92.2764, 126.8273, 1195.0698], [1288615.3927, 99.1804, 222.686, 69.8798, 99.5612, 903.8002]]","[[4946672.81, 187.304, 389.532, 142.1038, 187.9717, 1984.1871], [3300495.666, 152.996, 329.128, 112.0562, 153.5414, 1563.4083], [2118375.1976, 122.5722, 273.45, 86.7791, 123.0092, 1209.403]]","[[7291840.212, 219.7506, 457.117, 166.7735, 220.4819, 2495.4238], [4992518.2938, 181.8324, 390.451, 133.5078, 182.4375, 1996.3159], [3308583.2754, 148.0241, 328.85, 105.2325, 148.5167, 1572.0392]]","[[10503441.5188, 255.4188, 531.455, 193.857, 256.2157, 3094.5251], [7370772.5517, 213.9654, 458.661, 157.4361, 214.633, 2511.6572], [5037014.7934, 176.8779, 391.376, 126.2383, 177.4298, 2012.3214]]"
"[[9725.8998, 13.8096, 28.749, 10.3818, 13.947, 51.5096], [2954.5054, 7.6113, 17.435, 5.2147, 7.687, 25.6552], [715.9093, 3.7467, 8.804, 2.7129, 3.7839, 13.1158]]","[[31400.1874, 22.6883, 47.086, 17.1428, 22.8765, 102.2168], [11529.2085, 13.7479, 30.911, 9.6047, 13.8619, 56.9626], [3231.5131, 7.2784, 17.555, 5.0933, 7.3388, 29.8641]]","[[81367.5371, 33.8529, 70.124, 25.6353, 34.0939, 178.5047], [33965.587, 21.8721, 48.61, 15.4246, 22.0278, 106.9926], [11675.0981, 12.8233, 30.66, 8.7804, 12.9146, 60.4106]]","[[183606.6993, 47.6104, 98.367, 36.146, 47.907, 287.8644], [83846.5, 32.1736, 70.804, 22.8976, 32.3741, 181.8246], [33702.2415, 20.398, 48.026, 13.9324, 20.5251, 109.9652]]","[[364987.1262, 63.3313, 131.023, 48.057, 63.6821, 430.7672], [185045.5345, 45.094, 98.6, 32.3114, 45.3438, 288.9852], [83527.2311, 30.2966, 70.527, 20.7281, 30.4644, 184.3753]]","[[656212.0715, 80.6049, 165.961, 61.1909, 81.0069, 609.7304], [359187.8197, 59.6348, 129.062, 42.9459, 59.9323, 427.026], [179272.0738, 42.1304, 96.379, 29.0227, 42.3405, 287.021]]","[[1219569.0665, 104.8194, 217.5, 79.5788, 105.2948, 872.4501], [719954.017, 80.5362, 174.601, 58.4736, 80.9014, 640.215], [400423.9055, 60.0618, 136.595, 41.9267, 60.3342, 458.1172]]","[[2035487.2617, 129.7005, 269.444, 98.4143, 130.2398, 1177.3405], [1266201.8611, 102.296, 221.089, 74.5133, 102.7214, 890.4438], [745435.323, 78.4896, 177.118, 55.0812, 78.816, 657.1778]]","[[3234444.4218, 157.1318, 326.797, 119.2241, 157.735, 1545.4953], [2083305.4417, 126.1075, 272.1, 92.1072, 126.5916, 1192.88], [1283689.5059, 98.9907, 222.242, 69.7482, 99.3707, 902.0988]]","[[4928727.0485, 186.9639, 388.8, 141.849, 187.6305, 1980.6303], [3288289.5249, 152.7128, 328.495, 111.8516, 153.2572, 1560.5554], [2110337.5212, 122.3394, 272.909, 86.6168, 122.7756, 1207.1421]]","[[7265323.985, 219.3507, 456.256, 166.4738, 220.0807, 2490.9409], [4974012.2841, 181.4951, 389.699, 133.2635, 182.0991, 1992.6639], [3296027.457, 147.743, 328.2, 105.0355, 148.2347, 1569.0984]]","[[10465229.9379, 254.9538, 530.453, 193.5084, 255.7493, 3088.9627], [7343490.4161, 213.5691, 457.779, 157.1484, 214.2354, 2507.0686], [5017991.5436, 176.5436, 390.606, 126.0032, 177.0945, 2008.5746]]"
"[[9683.1925, 13.7792, 28.684, 10.3591, 13.9163, 51.3974], [2940.7633, 7.5936, 17.393, 5.2027, 7.6691, 25.5962], [712.2202, 3.737, 8.78, 2.7061, 3.7742, 13.0826]]","[[31272.566, 22.6421, 46.988, 17.1083, 22.83, 102.0111], [11479.468, 13.7182, 30.841, 9.5842, 13.832, 56.8416], [3215.5283, 7.2604, 17.509, 5.0811, 7.3207, 29.7924]]","[[81049.7577, 33.7868, 69.982, 25.5858, 34.0272, 178.1604], [33824.3325, 21.8266, 48.505, 15.3929, 21.9819, 106.7728], [11620.9995, 12.7936, 30.586, 8.7605, 12.8847, 60.2732]]","[[182905.9893, 47.5195, 98.172, 36.0779, 47.8155, 287.3226], [83504.7982, 32.108, 70.653, 22.8515, 32.308, 181.459], [33552.2523, 20.3525, 47.914, 13.9018, 20.4793, 109.7238]]","[[363595.9956, 63.2104, 130.763, 47.9664, 63.5606, 429.9564], [184303.4244, 45.0035, 98.394, 32.2473, 45.2528, 288.4124], [83166.5014, 30.2311, 70.368, 20.6838, 30.3986, 183.9807]]","[[653661.1614, 80.4481, 165.624, 61.0735, 80.8493, 608.5607], [357739.3412, 59.5145, 128.789, 42.8603, 59.8113, 426.1745], [178507.9945, 42.0405, 96.164, 28.9615, 42.2502, 286.4139]]","[[1215042.3134, 104.6247, 217.081, 79.433, 105.0992, 870.8518], [717206.6922, 80.3823, 174.254, 58.3636, 80.7469, 639.0116], [398842.4008, 59.9431, 136.313, 41.8453, 60.2149, 457.2286]]","[[2028040.8471, 129.463, 268.933, 98.2363, 130.0013, 1175.2126], [1261464.5507, 102.1045, 220.658, 74.3757, 102.529, 888.8012], [742559.4624, 78.3381, 176.762, 54.9766, 78.6638, 655.9307]]","[[3222686.2764, 156.846, 326.182, 119.0098, 157.4481, 1542.7197], [2075559.1407, 125.8728, 271.574, 91.9381, 126.356, 1190.6918], [1278775.0973, 98.801, 221.799, 69.6165, 99.1803, 900.397]]","[[4910817.0808, 186.6239, 388.068, 141.5941, 187.2893, 1977.0739], [3276102.5064, 152.4296, 327.862, 111.6469, 152.973, 1557.701], [2102316.8525, 122.1067, 272.368, 86.4545, 122.542, 1204.8815]]","[[7238860.9782, 218.9509, 455.395, 166.174, 219.6795, 2486.458], [4955549.0383, 181.158, 388.947, 133.0192, 181.7608, 1989.013], [3283499.034, 147.462, 327.55, 104.8386, 147.9527, 1566.1575]]","[[10427098.8103, 254.4889, 529.452, 193.1599, 255.2829, 3083.4018], [7316257.8953, 213.1727, 456.897, 156.8606, 213.8378, 2502.479], [4999005.7514, 176.2093, 389.837, 125.768, 176.7591, 2004.8274]]"
"[[9640.7219, 13.749, 28.619, 10.3365, 13.8858, 51.2854], [2927.0576, 7.5758, 17.351, 5.1906, 7.6512, 25.5366], [708.5609, 3.7274, 8.755, 2.6992, 3.7645, 13.0492]]","[[31144.9284, 22.5959, 46.889, 17.0737, 22.7834, 101.8051], [11429.6458, 13.6884, 30.772, 9.5637, 13.802, 56.7198], [3199.6007, 7.2424, 17.463, 5.0689, 7.3025, 29.7206]]","[[80732.6036, 33.7206, 69.84, 25.5363, 33.9606, 177.8158], [33683.4505, 21.7811, 48.4, 15.3612, 21.9361, 106.5529], [11567.2554, 12.764, 30.511, 8.7405, 12.8548, 60.1359]]","[[182207.2172, 47.4286, 97.977, 36.0099, 47.7241, 286.781], [83163.9929, 32.0424, 70.503, 22.8054, 32.2421, 181.0931], [33402.8055, 20.3071, 47.803, 13.8713, 20.4337, 109.4824]]","[[362207.1575, 63.0896, 130.504, 47.876, 63.4391, 429.146], [183563.2506, 44.913, 98.188, 32.1832, 45.1618, 287.84], [82807.1181, 30.1657, 70.21, 20.6396, 30.3328, 183.5865]]","[[651114.851, 80.2912, 165.287, 60.956, 80.6917, 607.391], [356293.7892, 59.3941, 128.517, 42.7746, 59.6904, 425.3226], [177745.764, 41.9507, 95.949, 28.9004, 42.1599, 285.8071]]","[[1210527.0225, 104.4301, 216.663, 79.2872, 104.9037, 869.2544], [714465.346, 80.2286, 173.907, 58.2536, 80.5924, 637.8084], [397264.7352, 59.8244, 136.031, 41.7639, 60.0957, 456.34]]","[[2020610.4831, 129.2256, 268.423, 98.0585, 129.7629, 1173.0864], [1256737.6682, 101.913, 220.228, 74.2382, 102.3368, 887.159], [739688.5871, 78.1865, 176.405, 54.8719, 78.5116, 654.6834]]","[[3210949.9425, 156.5601, 325.567, 118.7956, 157.1611, 1539.9446], [2067829.0956, 125.6382, 271.049, 91.7691, 126.1205, 1188.5036], [1273872.8763, 98.6115, 221.355, 69.4851, 98.99, 898.6978]]","[[4892944.7266, 186.284, 387.336, 141.3394, 186.9481, 1973.5186], [3263946.4768, 152.1465, 327.23, 111.4423, 152.6889, 1554.8483], [2094316.0691, 121.8741, 271.828, 86.2923, 122.3086, 1202.6222]]","[[7212449.4798, 218.5511, 454.534, 165.8744, 219.2784, 2481.976], [4937122.7477, 180.8208, 388.196, 132.7749, 181.4226, 1985.3626], [3271000.6914, 147.181, 326.9, 104.6418, 147.6708, 1563.219]]","[[10389047.7042, 254.0241, 528.451, 192.8115, 254.8167, 3077.8422], [7289088.385, 212.7765, 456.016, 156.5729, 213.4404, 2497.8914], [4980063.7595, 175.8752, 389.067, 125.5329, 176.4239, 2001.0821]]"
"[[9598.2123, 13.7186, 28.555, 10.3138, 13.8551, 51.1728], [2913.4288, 7.5582, 17.309, 5.1786, 7.6334, 25.4776], [704.8749, 3.7177, 8.731, 2.6923, 3.7547, 13.0159]]","[[31017.8996, 22.5497, 46.79, 17.0391, 22.7369, 101.5993], [11380.1812, 13.6587, 30.703, 9.5432, 13.7721, 56.5986], [3183.719, 7.2244, 17.417, 5.0566, 7.2844, 29.6485]]","[[80416.012, 33.6544, 69.699, 25.4868, 33.894, 177.4712], [33542.9093, 21.7356, 48.295, 15.3295, 21.8903, 106.3333], [11513.3718, 12.7342, 30.437, 8.7205, 12.8248, 59.9981]]","[[181509.4514, 47.3377, 97.782, 35.9419, 47.6326, 286.24], [82823.4487, 31.9767, 70.353, 22.7592, 32.176, 180.7273], [33253.5419, 20.2617, 47.691, 13.8407, 20.388, 109.241]]","[[360821.14, 62.9688, 130.244, 47.7855, 63.3176, 428.3357], [182823.7707, 44.8225, 97.982, 32.1192, 45.0708, 287.2678], [82448.1344, 30.1002, 70.051, 20.5953, 30.267, 183.1919]]","[[648575.2083, 80.1345, 164.951, 60.8386, 80.5342, 606.2218], [354851.9694, 59.2738, 128.244, 42.689, 59.5695, 424.4717], [176985.1751, 41.8608, 95.733, 28.8392, 42.0696, 285.2]]","[[1206021.3576, 104.2356, 216.245, 79.1414, 104.7083, 867.6575], [711731.5263, 80.0749, 173.561, 58.1437, 80.4381, 636.6057], [395690.9327, 59.7058, 135.75, 41.6825, 59.9766, 455.4514]]","[[2013195.5453, 128.9883, 267.912, 97.8806, 129.5246, 1170.9597], [1252019.1544, 101.7215, 219.798, 74.1007, 102.1445, 885.5167], [736824.7332, 78.035, 176.048, 54.7674, 78.3595, 653.4373]]","[[3199241.0684, 156.2744, 324.952, 118.5815, 156.8743, 1537.17], [2060114.2015, 125.4036, 270.524, 91.6, 125.885, 1186.3154], [1268981.2642, 98.4219, 220.912, 69.3535, 98.7998, 896.997]]","[[4875109.4574, 185.9442, 386.605, 141.0846, 186.6071, 1969.9628], [3251814.0273, 151.8635, 326.598, 111.2377, 152.4049, 1551.9956], [2086329.5159, 121.6415, 271.287, 86.13, 122.0752, 1200.3624]]","[[7186092.9608, 218.1514, 453.673, 165.5748, 218.8773, 2477.4954], [4918736.3877, 180.4838, 387.445, 132.5308, 181.0844, 1981.7133], [3258524.953, 146.9001, 326.251, 104.4449, 147.3889, 1560.2796]]","[[10351070.6178, 253.5594, 527.45, 192.4631, 254.3505, 3072.2834], [7261975.6977, 212.3804, 455.135, 156.2852, 213.0431, 2493.3047], [4961160.6086, 175.5411, 388.298, 125.2978, 176.0888, 1997.3362]]"
